Substância Ativa/DCI,Nome do Medicamento,Forma Farmacêutica,Dosagem,Titular de AIM,Genérico,Estado da AIM,Comercialização
Olanzapina,Olanzapina Germed,Comprimido revestido,5 mg,"Omnicals Pharma, Unipessoal Lda",Sim,Autorizado,Não Comercializado
Olanzapina,Olanzapina Germed,Comprimido revestido,7.5 mg,"Omnicals Pharma, Unipessoal Lda",Sim,Autorizado,Não Comercializado
Aripiprazol,Arpixor,Comprimido,10 mg,"Neuraxpharm Spain, S.L.U.",Sim,Autorizado,Comercializado
Aripiprazol,Arpixor,Comprimido,15 mg,"Neuraxpharm Spain, S.L.U.",Sim,Autorizado,Comercializado
Amoxicilina + Ácido clavulânico,Amoxicilina + Ácido Clavulânico Centrient,Comprimido revestido por película,875 mg + 125 mg,Centrient Pharmaceuticals Netherlands B.V.,Sim,Autorizado,Não Comercializado
Articaína + Adrenalina,Septanest 1/100.000,Solução injetável,40 mg/ml + 10 µg/ml,Septodont,Não,Autorizado,Comercializado
Colessevelam,Cholestagel,Comprimido revestido,625 mg,Cheplapharm Arzneimittel GmbH,Não,Autorizado,Não Comercializado
Articaína + Adrenalina,Septanest 1/200.000,Solução injetável,40 mg/ml + 5 µg/ml,Septodont,Não,Autorizado,Comercializado
Etoricoxib,Etoricoxib Pentafarma,Comprimido revestido por película,30 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Comercializado
Aripiprazol,Aripiprazol Zidrium,Comprimido,15 mg,"Teva Pharma - Produtos Farmacêuticos, Lda.",Sim,Autorizado,Não Comercializado
Etoricoxib,Etoricoxib Pentafarma,Comprimido revestido por película,60 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Comercializado
Albumina humana,Alburex 20,Solução para perfusão,200 g/l,CSL Behring GmbH,Não,Autorizado,Comercializado
Etoricoxib,Etoricoxib Pentafarma,Comprimido revestido por película,90 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Comercializado
Cefiderocol,Fetcroja,Pó para concentrado para solução para perfusão,1 g,Shionogi B.V.,Não,Autorizado,Não Comercializado
Sitagliptina,Sitagliptina Tecnigen,Comprimido revestido por película,50 mg,"Biofarmoz - Sociedade Técnico Medicinal, Unip. Lda.",Sim,Autorizado,Não Comercializado
Etoricoxib,Etoricoxib Stindrol,Comprimido revestido por película,60 mg,"Laboratórios Basi - Indústria Farmacêutica, S.A",Sim,Autorizado,Não Comercializado
Amlodipina + Valsartan + Hidroclorotiazida,Amlodipina + Valsartan + Hidroclorotiazida Macleods,Comprimido revestido por película,10 mg + 160 mg + 12.5 mg,"Macleods Pharma España, SLU",Sim,Autorizado,Não Comercializado
Amlodipina + Valsartan + Hidroclorotiazida,Amlodipina + Valsartan + Hidroclorotiazida Macleods,Comprimido revestido por película,5 mg + 160 mg + 25 mg,"Macleods Pharma España, SLU",Sim,Autorizado,Não Comercializado
Etoricoxib,Etoricoxib Stindrol,Comprimido revestido por película,90 mg,"Laboratórios Basi - Indústria Farmacêutica, S.A",Sim,Autorizado,Não Comercializado
Sitagliptina,Sitagliptina Tecnigen,Comprimido revestido por película,100 mg,"Biofarmoz - Sociedade Técnico Medicinal, Unip. Lda.",Sim,Autorizado,Não Comercializado
Etoricoxib,Etoricoxib Stindrol,Comprimido revestido por película,120 mg,"Laboratórios Basi - Indústria Farmacêutica, S.A",Sim,Autorizado,Não Comercializado
Ropinirol,Ropinirol Mylan,Comprimido de libertação prolongada,2 mg,"Mylan, Lda.",Sim,Autorizado,Comercializado
Dexmedetomidina,Dexmedetomidina Ever Pharma,Concentrado para solução para perfusão,100 µg/ml,Ever-Valinject GmbH,Não,Autorizado,Comercializado
Ropinirol,Ropinirol Mylan,Comprimido de libertação prolongada,4 mg,"Mylan, Lda.",Sim,Autorizado,Comercializado
Levetiracetam,Levetiracetam Maxmind,Comprimido revestido por película,250 mg,Maxmind Pharmaceutical S.L,Sim,Autorizado,Não Comercializado
Levetiracetam,Levetiracetam Maxmind,Comprimido revestido por película,500 mg,Maxmind Pharmaceutical S.L,Sim,Autorizado,Não Comercializado
Lorazepam,Lorazepam Aristo,Comprimido,1 mg,Aristo Pharma GmbH,Sim,Autorizado,Não Comercializado
Lorazepam,Lorazepam Aristo,Comprimido,2.5 mg,Aristo Pharma GmbH,Sim,Autorizado,Não Comercializado
Colecalciferol,Vitamina D Alter,Cápsula,50000 U.I.,"Alter, S.A.",Não,Autorizado,Não Comercializado
Colecalciferol,Vitamina D Alter,Cápsula,25000 U.I.,"Alter, S.A.",Não,Autorizado,Não Comercializado
Escitalopram,Escitalopram Tecnigen,Comprimido revestido por película,15 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Não Comercializado
Sinvastatina + Ezetimiba,Sinvastatina + Ezetimiba Farmoz,Comprimido,10 mg + 10 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Comercializado
Sinvastatina + Ezetimiba,Sinvastatina + Ezetimiba Pentafarma,Comprimido,10 mg + 10 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Comercializado
Metotrexato,Metotrexato Teva 25 mg/ml Solução Injectável,Solução injetável,25 mg/ml,"Teva Pharma - Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Sinvastatina + Ezetimiba,Sinvastatina + Ezetimiba Pentafarma,Comprimido,20 mg + 10 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Comercializado
Tocilizumab,Roactemra,Concentrado para solução para perfusão,20 mg/ml,Roche Registration GmbH,Não,Autorizado,Comercializado
Sinvastatina + Ezetimiba,Sinvastatina + Ezetimiba Pentafarma,Comprimido,40 mg + 10 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Comercializado
Sinvastatina + Ezetimiba,Sinvastatina + Ezetimiba Farmoz,Comprimido,20 mg + 10 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Comercializado
Sinvastatina + Ezetimiba,Sinvastatina + Ezetimiba Farmoz,Comprimido,40 mg + 10 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Comercializado
Sinvastatina + Ezetimiba,Sinvastatina + Ezetimiba Jaba,Comprimido,40 mg + 10 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Não Comercializado
Sinvastatina + Ezetimiba,Sinvastatina + Ezetimiba Azevedos,Comprimido,10 mg + 10 mg,"Laboratórios Azevedos - Indústria Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Sinvastatina + Ezetimiba,Sinvastatina + Ezetimiba Azevedos,Comprimido,20 mg + 10 mg,"Laboratórios Azevedos - Indústria Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Rosuvastatina,Rosuvastatina toLife,Comprimido revestido por película,20 mg,"Towa Pharmaceutical, S.A.",Sim,Autorizado,Comercializado
Ácido ibandrónico,Iasibon,Comprimido revestido por película,50 mg,"Pharmathen, S.A.",Sim,Autorizado,Não Comercializado
Sertralina,Sertralina Labesfal,Comprimido revestido por película,50 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Sertralina,Sertralina Labesfal,Comprimido revestido por película,100 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Olmesartan medoxomilo + Hidroclorotiazida,Olmesartan medoxomilo + Hidroclorotiazida toLife,Comprimido revestido por película,20 mg + 12.5 mg,"Towa Pharmaceutical, S.A.",Sim,Autorizado,Comercializado
Melatonina,Melatonina Noxarem,Comprimido,3 mg,Vemedia Manufacturing B.V.,Não,Autorizado,Não Comercializado
Melatonina,Melatonina Noxarem,Comprimido,5 mg,Vemedia Manufacturing B.V.,Não,Autorizado,Não Comercializado
Rosuvastatina,Rosuvastatina toLife,Comprimido revestido por película,10 mg,"Towa Pharmaceutical, S.A.",Sim,Autorizado,Comercializado
Oxaliplatina,Oxaliplatina Generis,Concentrado para solução para perfusão,5 mg/ml,Eugia Pharma (Malta) Limited,Sim,Autorizado,Não Comercializado
Melfalano flufenamida,Pepaxti,Pó para concentrado para solução para perfusão,20 mg,Oncopeptides AB (publ),Não,Autorizado,Não Comercializado
Permetrina,Permetrina LMP,Gel,50 mg/g,"Sabiedriba ar ierobežotu atbildibu ""LMP""",Não,Autorizado,Comercializado
Ropinirol,Ropinirol Mylan,Comprimido de libertação prolongada,8 mg,"Mylan, Lda.",Sim,Autorizado,Comercializado
Febuxostate,Febuxostate Bluepharma,Comprimido revestido por película,80 mg,Bluepharma Genéricos - Comércio de Medicamentos S.A.,Sim,Autorizado,Comercializado
Lovastatina,Lovastatina Borazil,Comprimido,10 mg,"Quimedical - Produtos Farmacêuticos, Lda.",Sim,Autorizado,Não Comercializado
Rosuvastatina,Rosuvastatina Tetrafarma,Comprimido revestido por película,10 mg,"Tetrafarma - Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Dasatinib,Dasatinib Zentiva,Comprimido revestido por película,20 mg,"Zentiva Portugal, Lda.",Sim,Autorizado,Comercializado
Dasatinib,Dasatinib Zentiva,Comprimido revestido por película,50 mg,"Zentiva Portugal, Lda.",Sim,Autorizado,Comercializado
Ácido alendrónico + Colecalciferol,Ácido alendrónico + Colecalciferol Ciclum,Comprimido,70 mg + 2800 U.I.,"Ciclum Farma Unipessoal, Lda.",Sim,Autorizado,Não Comercializado
Rosuvastatina,Rosuvastatina Tetrafarma,Comprimido revestido por película,20 mg,"Tetrafarma - Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Rosuvastatina,Rosuvastatina Bluepharma,Comprimido revestido por película,5 mg,Bluepharma Genéricos - Comércio de Medicamentos S.A.,Sim,Autorizado,Comercializado
Lisinopril,Lisinopril Germed 10 mg Comprimidos,Comprimido,10 mg,"Omnicals Pharma, Unipessoal Lda",Sim,Autorizado,Não Comercializado
,Traumeel S,Comprimido,Associação,Biologische Heilmittel Heel GmbH,Não,Autorizado,Comercializado
,Traumeel S,Pomada,Associação,Biologische Heilmittel Heel GmbH,Não,Autorizado,Comercializado
,Traumeel S,"Gotas orais, solução",Associação,Biologische Heilmittel Heel GmbH,Não,Autorizado,Comercializado
Aciclovir,Aciclovir Accord,Pó para solução para perfusão,250 mg,"Accord Healthcare, S.L.U.",Sim,Autorizado,Não Comercializado
Estradiol,Estradot,Sistema transdérmico,75 µg/24 h,"Sandoz Farmacêutica, Lda.",Não,Autorizado,Não Comercializado
Estradiol,Estradot,Sistema transdérmico,100 µg/24 h,"Sandoz Farmacêutica, Lda.",Não,Autorizado,Não Comercializado
Raloxifeno,Raloxifeno Generis,Comprimido revestido por película,60 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Atorvastatina,Atorvastatina Generis Phar,Comprimido revestido por película,10 mg,"Generis Phar, Unipessoal Lda.",Sim,Autorizado,Comercializado
Fluticasona + Salmeterol,Maizar Diskus,Pó para inalação em recipiente unidose,100 µg/dose + 50 µg/dose,"GlaxoSmithkline Produtos Farmacêuticos, Lda.",Não,Autorizado,Comercializado
Estradiol,Estradot,Sistema transdérmico,37.5 µg/24 h,"Sandoz Farmacêutica, Lda.",Não,Autorizado,Não Comercializado
Estradiol,Estradot,Sistema transdérmico,50 µg/24 h,"Sandoz Farmacêutica, Lda.",Não,Autorizado,Não Comercializado
Atorvastatina,Atorvastatina Generis Phar,Comprimido revestido por película,20 mg,"Generis Phar, Unipessoal Lda.",Sim,Autorizado,Comercializado
Atorvastatina,Atorvastatina Generis Phar,Comprimido revestido por película,40 mg,"Generis Phar, Unipessoal Lda.",Sim,Autorizado,Comercializado
Isoniazida,Isoniazida Labesfal,Solução injetável,100 mg/ml,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Não Comercializado
Hidrocortisona,Alkindi,Granulado em cápsulas para abrir,0.5 mg,Diurnal Europe B.V.,Não,Autorizado,Não Comercializado
Prasterona,Intrarosa,Óvulo,6.5 mg,Endoceutics S.A.,Não,Autorizado,Comercializado
Imatinib,Imatinib Teva,Cápsula,400 mg,Teva B.V.,Sim,Autorizado,Não Comercializado
Etoricoxib,Etoricoxib Pentafarma,Comprimido revestido por película,120 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Comercializado
Alopurinol,Alopurinol Mylan,Comprimido,100 mg,"Mylan, Lda.",Sim,Autorizado,Comercializado
Valsartan,Valsartan Aurobindo,Cápsula,80 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Valsartan,Valsartan Aurobindo,Cápsula,160 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Memantina,Memantina ratiopharm,Comprimido revestido por película,(5 mg)+(10 mg)+(15 mg)+(20 mg),Ratiopharm GmbH,Sim,Autorizado,Não Comercializado
Alopurinol,Alopurinol Mylan,Comprimido,300 mg,"Mylan, Lda.",Sim,Autorizado,Não Comercializado
Fampridina,Fampyra,Comprimido de libertação prolongada,10 mg,Biogen Netherlands B.V.,Não,Autorizado,Comercializado
Amlodipina + Valsartan,Amlodipina + Valsartan Mylan,Comprimido revestido por película,5 mg + 80 mg,Mylan Pharmaceuticals Limited,Sim,Autorizado,Comercializado
Budesonida,Budenofalk,Cápsula gastrorresistente,3 mg,"Dr. Falk Pharma Portugal, Sociedade Unipessoal, Lda.",Não,Autorizado,Comercializado
Bevacizumab,MVASI,Concentrado para solução para perfusão,25 mg/ml,Amgen Technology (Ireland) UC,Não,Autorizado,Comercializado
Levetiracetam,Levetiracetam Pensa,Comprimido revestido por película,250 mg,"Towa Pharmaceutical, S.A.",Sim,Autorizado,Não Comercializado
Ácido alendrónico + Colecalciferol,Ácido Alendrónico + Colecalciferol Zentiva,Comprimido,70 mg + 2800 U.I.,"Zentiva Portugal, Lda.",Sim,Autorizado,Não Comercializado
Rosuvastatina,Rosuvastatina Bluepharma,Comprimido revestido por película,10 mg,Bluepharma Genéricos - Comércio de Medicamentos S.A.,Sim,Autorizado,Comercializado
Rosuvastatina,Rosuvastatina Bluepharma,Comprimido revestido por película,20 mg,Bluepharma Genéricos - Comércio de Medicamentos S.A.,Sim,Autorizado,Comercializado
Rosuvastatina,Rosuvastatina Pentafarma,Comprimido revestido por película,5 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Comercializado
Rituximab,Ruxience,Concentrado para solução para perfusão,100 mg/10 ml,Pfizer Europe MA EEIG,Não,Autorizado,Comercializado
Rosuvastatina,Rosuvastatina Pentafarma,Comprimido revestido por película,10 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Não Comercializado
Rosuvastatina,Rosuvastatina Pentafarma,Comprimido revestido por película,20 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Comercializado
Rosuvastatina,Rosuvastatina Vitória,Comprimido revestido por película,5 mg,"Faes Farma Portugal, S.A.",Sim,Autorizado,Comercializado
Amlodipina + Telmisartan,Amlodipina + Telmisartan Generis,Comprimido,10 mg + 80 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Messalazina,Asacol,Comprimido gastrorresistente,800 mg,Tillotts Pharma GmbH,Não,Autorizado,Comercializado
Lacosamida,Lacosamida ratiopharm,Comprimido revestido por película,100 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Docetaxel,Docetaxel Zentiva,Concentrado para solução para perfusão,160 mg/8 ml,Aventis Pharma S.A.,Não,Autorizado,Não Comercializado
Solifenacina,Solifenacina Generis Phar,Comprimido revestido por película,5 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Paroxetina,Paroxetina Labesfal,Comprimido revestido por película,20 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Solifenacina,Solifenacina Generis Phar,Comprimido revestido por película,10 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Gabapentina,Gabapentina Generis,Cápsula,100 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Paracetamol + Codeína,Antolif,Comprimido,500 mg + 30 mg,"Neogen, N.V.",Sim,Autorizado,Não Comercializado
Glucosamina,Glucosamina Delta,Comprimido revestido,750 mg,"BGP Products, Unipessoal Lda.",Não,Autorizado,Não Comercializado
Paracetamol + Codeína,Antolif,Comprimido,1000 mg + 60 mg,"Neogen, N.V.",Não,Autorizado,Não Comercializado
Paracetamol + Codeína,Pacomi,Comprimido,500 mg + 30 mg,"Neogen, N.V.",Sim,Autorizado,Não Comercializado
Perindopril,Perindopril Generis,Comprimido,4 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Perindopril,Perindopril Generis,Comprimido,8 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Isoniazida,Isoniazida Labesfal,Comprimido,50 mg,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Não Comercializado
Amlodipina + Valsartan,Amlodipina + Valsartan Mylan,Comprimido revestido por película,5 mg + 160 mg,Mylan Pharmaceuticals Limited,Sim,Autorizado,Comercializado
Deferasirox,Exjade,Comprimido revestido por película,90 mg,Novartis Europharm Limited,Não,Autorizado,Comercializado
Somatropina,Omnitrope,Pó e solvente para solução injetável,5 mg/ml,Sandoz GmbH,Não,Autorizado,Não Comercializado
Triazolam,Halcion,Comprimido,0.25 mg,"Laboratórios Pfizer, Lda.",Não,Autorizado,Comercializado
Deferasirox,Exjade,Comprimido revestido por película,180 mg,Novartis Europharm Limited,Não,Autorizado,Comercializado
Clofarabina,Evoltra,Concentrado para solução para perfusão,1 mg/ml,Sanofi B.V.,Não,Autorizado,Comercializado
Deferasirox,Exjade,Comprimido revestido por película,360 mg,Novartis Europharm Limited,Não,Autorizado,Comercializado
Vildagliptina,Vildagliptina Sandoz,Comprimido,50 mg,"Sandoz Farmacêutica, Lda.",Sim,Autorizado,Comercializado
Zonisamida,Zonisamida Mylan,Cápsula,50 mg,Mylan Pharmaceuticals Limited,Sim,Autorizado,Não Comercializado
Zonisamida,Zonisamida Mylan,Cápsula,100 mg,Mylan Pharmaceuticals Limited,Sim,Autorizado,Comercializado
Candesartan,Candesartan Basi,Comprimido,8 mg,"Laboratórios Basi - Indústria Farmacêutica, S.A",Sim,Autorizado,Comercializado
Dasatinib,Dasatinib Zentiva,Comprimido revestido por película,80 mg,"Zentiva Portugal, Lda.",Sim,Autorizado,Comercializado
Bupropiom,Bupropiom Zentiva,Comprimido de libertação modificada,300 mg,"Zentiva Portugal, Lda.",Sim,Autorizado,Não Comercializado
Álcool diclorobenzílico + Amilmetacresol,Strepsils Mel e limão,Pastilha,1.2 mg + 0.6 mg,"Reckitt Benckiser Healthcare, Lda.",Não,Autorizado,Comercializado
Pantoprazol,Propantiv,Pó para solução injetável ou para perfusão,40 mg,ELC Group s.r.o.,Sim,Autorizado,Não Comercializado
Memantina,Solemantis,Solução oral,10 mg/ml,"Neuraxpharm Spain, S.L.U.",Sim,Autorizado,Não Comercializado
Lacosamida,Lacosamida ratiopharm,Comprimido revestido por película,150 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Fumarato de dimetilo,Skilarence,Comprimido gastrorresistente,120 mg,"Almirall, S.A",Não,Autorizado,Não Comercializado
Lacosamida,Lacosamida ratiopharm,Comprimido revestido por película,200 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Tadalafil,Tadalafil Farmoz,Comprimido revestido por película,10 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Comercializado
Amlodipina + Olmesartan medoxomilo,Amlodipina + Olmesartan medoxomilo Krka,Comprimido revestido por película,5 mg + 20 mg,"KRKA d.d., Novo mesto",Sim,Autorizado,Comercializado
Enalapril + Lercanidipina,Enalapril + Lercanidipina Mylan,Comprimido revestido por película,10 mg + 10 mg,"Mylan, Lda.",Sim,Autorizado,Comercializado
Enalapril + Lercanidipina,Enalapril + Lercanidipina Mylan,Comprimido revestido por película,20 mg + 10 mg,"Mylan, Lda.",Sim,Autorizado,Comercializado
Ácido alendrónico + Colecalciferol,Ácido Alendrónico + Colecalciferol Aristo,Comprimido,70 mg + 2800 U.I.,Aristo Pharma GmbH,Sim,Autorizado,Não Comercializado
Entecavir,Entecavir Farmoz,Comprimido revestido por película,1 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Não Comercializado
